0: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
17: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5], [7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
18: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5], [7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
19: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5], [7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
20: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5], [7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
21: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5], [7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
22: [[4, 1, 2, 3, 6, 13, 10], [14, 9, 5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
23: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
24: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
25: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
26: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
27: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
28: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
29: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
30: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
31: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
32: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
33: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
34: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17, 21], [23, 24]]
35: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17, 21], [23, 24]]
36: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5], [7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17, 21], [23, 24]]
37: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5], [7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17, 21], [23, 24]]
38: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7], [11, 8, 12, 15, 16, 18, 22, 20, 19, 17, 21], [23, 24]]
39: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11, 8], [12, 15, 16, 18, 22, 20, 19, 17, 21], [23, 24]]
40: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11, 8], [12, 15, 16, 18, 22, 20, 19, 17, 21], [23, 24]]
41: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19], [17, 21, 23, 24]]
42: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19], [17, 21, 23, 24]]
43: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19], [17, 21, 23, 24]]
44: [[4, 1, 2, 3, 6, 13, 10, 14], [9, 5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19], [17, 21, 23, 24]]
45: [[4, 1, 2, 3, 6, 13, 10, 14], [9, 5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19], [17, 21, 23, 24]]
46: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7, 11], [8, 12, 15, 16, 18, 22, 20, 19], [17, 21, 23, 24]]
47: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7], [11, 8, 12, 15, 16, 18, 22, 20, 19], [17, 21, 23, 24]]
48: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7], [11, 8, 12, 15, 16, 18, 22, 20, 19], [17, 21, 23, 24]]
49: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5, 7], [11, 8, 12, 15, 16, 18, 22, 20, 19], [17, 21, 23, 24]]
